ICAO,CIAD,Aeródromo,Cidade,UF,Alerta,NOTAM,STATUS
SSOK,PR0088,14 Bis,LONDRINA,PR,,"[{'badge_info': 'E0479/19', 'titulo': ' R E0032/19 13/03/2019 23:19', 'msg': 'PJE SUBJ AUTH APP LONDRINA ACONTECERA CENTROCOORD 231251S/0511109W (AERODROMO 14 BIS, PR) RAIO 03KM RTO ', 'texto2': 'GND'}]",OK
SIJQ,MT0099,A2 Aviação Agrícola Ltda,ALTA FLORESTA,MT,,[],OK
SNDH,BA0132,ABA,BARREIRAS,BA,,[],OK
SIGN,GO0038,ACGC,MIMOSO DE GOIÁS,GO,,[],OK
SDGA,MS0029,Adecoagro,ANGÉLICA,MS,,[],OK
SIOR,SP0191,Adhemar Ribeiro,SANTA RITA DO PASSA QUATRO,SP,,[],OK
SSXN,PA0135,Aéreo Amazônia,ALTAMIRA,PA,,[],OK
SJTL,PR0021,Aero Agrícola Gaivota,JAGUAPITÃ,PR,,[],OK
SJRT,MT0215,Aero Agrícola Rio Claro,SÃO JOSÉ DO RIO CLARO,MT,,[],OK
SWDI,SP0274,Aeroagrícola Solo,PARANAPANEMA,SP,,[],OK
SJAK,MT0043,Aerobako,SINOP,MT,,"[{'badge_info': 'Revogado', 'titulo': 'NFOTEMP 0917/2018', 'texto2': 'Duração:'}, {'badge_info': 'Revogado', 'titulo': 'NFOTEMP 0897/2018', 'texto2': 'Duração:'}]",OK
SJKA,MT0189,Aerocampo,CAMPO NOVO DO PARECIS,MT,,[],OK
SJAV,GO0067,Aerocéu Aviação Agrícola,CHAPADÃO DO CÉU,GO,,[],OK
SNVR,BA0064,Aeroclube da Bahia,VERA CRUZ,BA,,"[{'badge_info': 'B0193/19', 'titulo': ' R B1831/18 13/02/2019 12:28', 'msg': 'PJE SOB VMC SUBJ COOR ACC-RECIFE/AUTH APP-SALVADOR ACONTECERA CENTRO COORD 130117S/0384052W RAIO 05KM SFC/FL035 RTO FL035/FL150 COOR ', 'texto2': 'SFC'}]",OK
SNGS,AL0008,Aeroclube de Alagoas,MACEIÓ,AL,,[],OK
SSHA,MS0282,Aeroclube de Aquidauana,AQUIDAUANA,MS,,[],OK
SIBK,RS0058,Aeroclube de Bagé,BAGÉ,RS,,[],OK
SSBG,RS0091,Aeroclube de Bento Gonçalves,BENTO GONÇALVES,RS,,[],OK
