ICAO,CIAD,Aeródromo,Cidade,UF,Alerta,NOTAM
SBAA,PA0008,Conceição do Araguaia,CONCEIÇÃO DO ARAGUAIA,PA,,"[{'badge_info': 'N0187 | 07/12/17', 'titulo': 'OBSTÁCULO', 'texto1': '- Obstáculo (Morro) não iluminado. \n\n1) Coordenada 082038,27S / 0491728,92W ELEV 683 FT;\n2) Coordenada 082133,63S / 0491913,10W ELEV 808FT.', 'texto2': '\n  \tPeríodo: De 07 de dezembro de 2017, 0000 UTC até 31 de dezembro de 2019, 2359 UTC.\n\tRef: AIP MAP ADC (RPLC SUP N160/15)\n\n'}, {'badge_info': 'N0193 | 07/12/17', 'titulo': 'RESTRIÇÃO DE PISTA', 'texto1': '- Primeiros 1350M da pista 08 fechados para pouso, primeiros 640m da pista 26 fechados para pouso e últimos 1350m da pista 26 fechados para decolagem devido obstáculo.', 'texto2': '\n  \tPeríodo: De 07 de dezembro de 2017, 0000 UTC até 31 de dezembro de 2019, 2359 UTC.\n\tRef: AIP MAP ADC (RPLC SUP N126/16)\n\n'}, {'badge_info': 'N0194 | 07/12/17', 'titulo': 'DISTÂNCIAS DECLARADAS', 'texto1': '- Distâncias declaradas da Pista 08/26 modificadas. \n\nTORA TODA ASDA LDA\nRWY 08 1800M 1800M 1864M 450M\nRWY 26 450M 450M 450M 1160M', 'texto2': '\n  \tPeríodo: De 07 de dezembro de 2017, 0000 UTC até 31 de dezembro de 2019, 2359 UTC.\n\tRef: AIP MAP ADC (RPLC SUP N125/16)\n\n'}, {'badge_info': 'N0191 | 08/12/16', 'titulo': 'LUZES DE ÁREA DE POUSO', 'texto1': '- Todas Facilidades e Serviço de iluminação da área de pouso estão indisponíveis.', 'texto2': '\n  \tPeríodo: De 08 de dezembro de 2016, 0000 UTC até 31 de dezembro de 2019, 2359 UTC.\n\tRef: AIP MAP ADC (RPLC N156/14)\n\n'}, {'badge_info': 'N0192 | 08/12/16', 'titulo': 'LUZES DE APROXIMAÇÃO', 'texto1': 'VASIS (AVASIS) RWY 08 indisponível.', 'texto2': '\n  \tPeríodo: De 08 de dezembro de 2016, 0000 UTC até 31 de dezembro de 2019, 2359 UTC.\n\tRef: AIP MAP ADC (RPLC N157/14)\n\n'}, {'badge_info': 'G0188/19', 'titulo': ' N 15/02/2019 12:20', 'texto2': '15/02/19 12:20 a 15/04/19 21:00 UTC'}, {'badge_info': 'G0172/19', 'titulo': ' N 12/02/2019 13:44', 'texto2': '12/02/19 13:44 a 17/03/19 21:00 UTC'}, {'badge_info': 'G1364/18', 'titulo': ' N 04/12/2018 13:31', 'texto2': '04/12/18 13:31 a 03/03/19 21:00 UTC'}, {'badge_info': 'Z1938/18', 'titulo': ' N 07/11/2018 19:31', 'texto2': '08/11/18 00:00 a PERM'}]"
SBAE,SP0010,Bauru - Arealva,BAURU,SP,,"[{'badge_info': 'N0252 | 06/12/18', 'titulo': 'CARTA DE SAÍDA PADRÃO POR INSTRUMENTOS', 'texto1': 'Modificar saída PERAU 1B para PERAU 1A na SID RNAV EDMOX 1A - OBLUG 1A - PERAU 1B- PUMUS 1A RWY 17.', 'texto2': '\n  \tPeríodo: De 06 de dezembro de 2018, 0000 UTC até 31 de dezembro de 2019, 2359 UTC.\n\tRef: AIP MAP SID (RPLC NOTAM E2124/18)\n\n'}, {'badge_info': 'N0225 | 08/11/18', 'titulo': 'PISTA', 'texto1': '- Pista 17/35, serviço de manutenção nas laterais. \n\n1) Dias e horários: H24', 'texto2': '\n  \tPeríodo: De 08 de novembro de 2018, 0000 UTC até 29 de dezembro de 2019, 2100 UTC.\n\tRef: AIP MAP\n\n'}, {'badge_info': 'E2883/18', 'titulo': ' N 20/12/2018 16:56', 'texto2': '01/01/19 00:00 a 31/03/19 23:59 UTC'}, {'badge_info': 'Z0386/18', 'titulo': ' N 08/02/2018 17:57', 'texto2': '08/02/18 17:58 a PERM'}]"
SBAQ,SP0211,Bartolomeu de Gusmão,ARARAQUARA,SP,,"[{'badge_info': 'F0357/19', 'titulo': ' N 26/02/2019 17:04', 'texto2': 'SFC'}, {'badge_info': 'Z1936/18', 'titulo': ' N 07/11/2018 19:25', 'texto2': '08/11/18 00:00 a PERM'}, {'badge_info': 'Z1347/18', 'titulo': ' R Z1341/18 17/08/2018 13:32', 'texto2': '17/08/18 13:32 a PERM'}, {'badge_info': 'Z1342/18', 'titulo': ' N 16/08/2018 14:04', 'texto2': '16/08/18 14:04 a PERM'}, {'badge_info': 'Z0942/18', 'titulo': ' N 01/06/2018 16:46', 'texto2': '21/06/18 00:00 a PERM'}, {'badge_info': 'Z2635/17', 'titulo': ' N 04/09/2017 16:31', 'texto2': '04/09/17 16:31 a PERM'}]"
SBAR,SE0001,Santa Maria,ARACAJU,SE,,"[{'badge_info': 'N0040 | 28/02/19', 'titulo': 'HORÁRIO DE SERVIÇO', 'texto1': '- Horário de Serviço AIS modificado. \n\n1) Dias e horários: 0900 - 2100 UTC\n\nRMK: Demais horários o serviço será prestado pelo Centro de Informações Aeronáuticas Recife (CAIS-RE) através da internet ou TEL (81) 2129-8212 e TEL/FAX PLN (81) 2129-8215.\n', 'texto2': '\n  \tPeríodo: De 28 de fevereiro de 2019, 0900 UTC até 31 de janeiro de 2020, 2100 UTC.\n\tRef: AIP AD 2.3\n\n'}, {'badge_info': 'B0210/19', 'titulo': ' N 19/02/2019 17:19', 'texto2': '22/03/19 09:00 a 22/03/19 13:00 UTC'}, {'badge_info': 'B1897/18', 'titulo': ' N 26/12/2018 22:49', 'texto2': 'SFC'}, {'badge_info': 'Z2113/18', 'titulo': ' N 04/12/2018 13:47', 'texto2': '04/12/18 13:47 a PERM'}, {'badge_info': 'Z1284/18', 'titulo': ' N 19/07/2018 18:34', 'texto2': '19/07/18 18:34 a PERM'}, {'badge_info': 'Z1265/18', 'titulo': ' N 16/07/2018 19:01', 'texto2': '16/07/18 19:01 a PERM'}, {'badge_info': 'Z1148/18', 'titulo': ' N 27/06/2018 13:45', 'texto2': '27/06/18 13:45 a PERM'}, {'badge_info': 'Z0369/18', 'titulo': ' N 05/02/2018 15:59', 'texto2': '05/02/18 16:00 a PERM'}, {'badge_info': 'Z3998/17', 'titulo': ' N 24/11/2017 22:02', 'texto2': '30/11/17 00:00 a PERM'}, {'badge_info': 'Z3997/17', 'titulo': ' N 24/11/2017 22:00', 'texto2': '30/11/17 00:00 a PERM'}, {'badge_info': 'Z3731/17', 'titulo': ' N 25/10/2017 11:46', 'texto2': '25/10/17 11:43 a PERM'}, {'badge_info': 'Z2529/17', 'titulo': ' R Z2025/16 19/08/2017 12:07', 'texto2': '19/08/17 12:07 a PERM'}, {'badge_info': 'Z3078/15', 'titulo': ' N 17/11/2015 10:57', 'texto2': '17/11/15 10:57 a PERM'}]"
SBAT,MT0003,Aeroporto Piloto Osvaldo Marques Dias,ALTA FLORESTA,MT,,"[{'badge_info': 'N0176 | 13/09/18', 'titulo': 'PROCEDIMENTO DE APROXIMAÇÃO POR INSTRUMENTOS', 'texto1': '- Procedimento de Aproximação por Instrumentos – IAP NDB Z RWY 04 – não disponível.', 'texto2': '\n  \tPeríodo: De 13 de setembro de 2018, 0000 UTC até 31 de dezembro de 2019, 2359 UTC.\n\tRef: AIP MAP IAC\n\n'}, {'badge_info': 'G0140/19', 'titulo': ' R G1391/18 01/02/2019 15:41', 'texto2': '01/02/19 15:41 a 31/03/19 22:00 UTC'}, {'badge_info': 'Z0527/18', 'titulo': ' N 12/03/2018 18:13', 'texto2': '21/03/18 00:00 a PERM'}]"
SBAU,SP0009,Araçatuba,ARAÇATUBA,SP,,"[{'badge_info': 'N0223 | 08/11/18', 'titulo': 'PISTA', 'texto1': '- Pista 05/23, serviço de manutenção nas laterais. \n\n1) Dias e horários: Diariamente 0900 – 2000 UTC', 'texto2': '\n  \tPeríodo: De 08 de novembro de 2018, 0900 UTC até 21 de novembro de 2019, 2000 UTC.\n\tRef: AIP MAP ADC\n\n'}, {'badge_info': 'E0369/19', 'titulo': ' N 27/02/2019 23:24', 'texto2': '27/02/19 23:24 a 03/04/19 18:00 UTC'}, {'badge_info': 'E0289/19', 'titulo': ' R E2840/18 13/02/2019 12:22', 'texto2': '13/02/19 12:22 a 09/05/19 23:59 UTC'}, {'badge_info': 'E0288/19', 'titulo': ' R E2857/18 13/02/2019 12:14', 'texto2': '13/02/19 12:14 a 09/05/19 23:59 UTC'}, {'badge_info': 'E0260/19', 'titulo': ' N 07/02/2019 21:17', 'texto2': '07/02/19 21:17 a 04/05/19 23:59 UTC'}, {'badge_info': 'Z0743/18', 'titulo': ' N 20/04/2018 18:29', 'texto2': '01/05/18 00:00 a PERM'}]"
SBAX,MG0008,Romeu Zema,ARAXÁ,MG,,"[{'badge_info': 'N0195 | 11/10/18', 'titulo': 'SAÍDA PADRÃO POR INSTRUMENTOS', 'texto1': '- SID MASDI 1A - MOPNI 1A - NISNI 1A RWY 34: Saída MASDI 1A não disponível. \n\n1) Dias e Horários: H24', 'texto2': '\n  \tPeríodo: De 11 de outubro de 2018, 0000 UTC até 31 de dezembro de 2019, 2000 UTC.\n\tRef: AIP MAP SID\n\n'}, {'badge_info': 'F0318/19', 'titulo': ' R F2511/18 21/02/2019 18:06', 'texto2': '21/02/19 18:06 a 21/05/19 23:59 UTC'}, {'badge_info': 'F0301/19', 'titulo': ' N 20/02/2019 17:36', 'texto2': '15/03/19 10:00 a 31/05/19 22:00 UTC'}, {'badge_info': 'F0039/19', 'titulo': ' N 13/01/2019 17:29', 'texto2': '13/01/19 17:29 a 29/03/19 22:00 UTC'}, {'badge_info': 'Z0598/18', 'titulo': ' N 26/03/2018 18:48', 'texto2': '26/03/18 18:51 a PERM'}, {'badge_info': 'Z0552/18', 'titulo': ' N 15/03/2018 18:44', 'texto2': '15/03/18 18:46 a PERM'}]"
SBBE,PA0014,Aeroporto Internacional de Belém / Val de Cans / Júlio Cezar Ribeiro,BELÉM,PA,,"[{'badge_info': 'N0227 | 08/11/18', 'titulo': 'RESTRIÇÃO DE PISTA', 'texto1': '- Pista 06/24 proibido operações de aeronave com envergadura superior a 36m em chuva moderada ou forte e aeronave com envergadura igual ou inferior a 36m proibido operações em chuva forte. \n\n1) Dias e Horários: H24', 'texto2': '\n  \tPeríodo: De 08 de novembro de 2018, 0000 UTC até 31 de março de 2019, 2359 UTC.\n\tRef: AIP AD 2.12\n\n'}, {'badge_info': 'N0171 | 07/12/17', 'titulo': 'SERVIÇO DE METEOROLOGIA', 'texto1': '- Meteorologia CMA (1 a 11) serviço prestado por meio de autoatendimento. Dúvidas sobre a utilização do portal www.redemet.aer.mil.br e demais informações consultar o Centro Meteorológico de Vigilância Amazônico TEL (92) 3652-5374; (92) 3652-5375.', 'texto2': '\n  \tPeríodo: De 07 de dezembro de 2017, 0000 UTC até 31 de dezembro de 2019, 2359 UTC.\n\tRef: AIP GEN 3.5 (RPLC SUP N164/16)\n\n'}, {'badge_info': 'N0132 | 09/11/17', 'titulo': 'PÁTIO MILITAR', 'texto1': '- Pátio militar estacionamento aeronaves com hora estimada de chegada entre 0000-0900 deverão realizar contato compulsório com a SCOAM Belém pelo tel.: (91) 3182-9354 antes da partida e com Operações na freq. 122.50MHZ antes da chegada.', 'texto2': '\n  \tPeríodo: De 09 de novembro de 2017, 0000 UTC até 31 de dezembro de 2019, 2359 UTC.\n\tRef: AIP AD 2.8\n\n'}, {'badge_info': 'N0106 | 17/08/17', 'titulo': 'INFORMAÇÃO ADICIONAL', 'texto1': '- Obstáculo montado (Torre Metálica) não iluminado.\n\n1) COORD 0122.68S/04819.23W ELEV 475FT - CORREDOR FOXTROT DA REA BELEM\n\n2) COORD 0123.66S/04819.23W ELEV 455FT - PROXIMO AO CORREDOR FOXTROT DA REA BELEM\n\n3) COORD 0123.34S/04823.56W ELEV 595FT - CORREDOR ECHO DA REA BELEM\n\n4) COORD 0123.06S/04824.36W ELEV 299FT - CORREDOR ECHO DA REA BELEM\n\n5) COORD 0121.28S/04824.39W ELEV 273FT\n\n6) COORD 0122.06S/04823.00W ELEV 332FT\n\n7) COORD 0122.51S/04822.10W ELEV 296FT - CORREDOR ECHO DA REA BELEM\n\n8) COORD 0121.32S/04822.20W ELEV 260FT\n\n9) COORD 0122.05S/04821.16W ELEV 204FT - CORREDOR ECHO DA REA BELEM', 'texto2': '\n  \tPeríodo: De 17 de agosto de 2017, 1100 UTC até 31 de dezembro de 2019, 2300 UTC.\n\tRef: AIP AD 2.23 (RPLC SUP N083/16)\n\n'}, {'badge_info': 'N0107 | 17/08/17', 'titulo': 'INFORMAÇÃO ADICIONAL', 'texto1': '- Obstáculo montado (Antena) iluminado.\n\n1) Coordenada: 012204S / 0482554W ELEV 316 FT', 'texto2': '\n  \tPeríodo: De 17 de agosto de 2017, 1100 UTC até 31 de dezembro de 2019, 2300 UTC.\n\tRef: AIP AD 2.23 (RPLC SUP N084/16)\n\n'}, {'badge_info': 'N0108 | 17/08/17', 'titulo': 'INFORMAÇÃO ADICIONAL', 'texto1': '- Obstáculo montado (Torre de telecomunicação) iluminado.\n\n1 - COORD 012239,43S/0482638,44W ELEV 83M \n\n2 - COORD 012106,70S/0482838,00W ELEV 66M\n\n3 - COORD 012346,97S/0482604,49W ELEV 95M \n\n4 - COORD 012152,27S/0482807,90W ELEV 72M \n\n5 - COORD 012536,48S/0482720,70W ELEV 85M \n\n6 - COORD 012408,71S0482708,75W ELEV 70M', 'texto2': '\n  \tPeríodo: De 17 de agosto de 2017, 1100 UTC até 31 de dezembro de 2019, 2300 UTC.\n\tRef: AIP AD 2.23 (RPLC NOTAM G1015/17)\n\n'}, {'badge_info': 'N0110 | 17/08/17', 'titulo': 'SERVIÇO METEOROLÓGICO', 'texto1': '- Meteorologia do Centro Meteorológico Militar (1 a 12) limitado para autoatendimento.\n\nRMK: Dúvidas sobre a utilização do Portal www.redemet.aer.mil.br e demais informações consultar o centro meteorológico de vigilância amazônico Tel: (92) 3652-5374 ou (92) 3652-5375.', 'texto2': '\n  \tPeríodo: De 17 de agosto de 2017, 0000 UTC até 31 de dezembro de 2019, 2359 UTC.\n\tRef: AIP AD 2.3\n\n'}, {'badge_info': 'N0076 | 25/05/17', 'titulo': 'SALA AIS', 'texto1': '- Sala AIS militar limitada para autoatendimento.\n\nRMK: Para informações adicionais consultar o Centro de Informações Aeronáuticas Amazônico\n(CAIS-AZ) TEL: (92)3652-5955 ou (92)3652- 5965.', 'texto2': '\n  \tPeríodo:  De 25 de maio de 2017, 0000 UTC até 31 de dezembro de 2019, 2359 UTC.\n\tRef: AIP AD 2.3-4\n\n'}, {'badge_info': 'N0080 | 25/05/17', 'titulo': 'PROCEDIMENTO DE APROXIMAÇÃO POR INSTRUMENTO', 'texto1': '- IAP RNAV (GNSS) da pista 24 não disponível para procedimento LNAV/VNAV.', 'texto2': '\n  \tPeríodo: De 25 de maio de 2017, 0000 UTC até 31 de dezembro de 2019, 2359 UTC.\n\tRef: AIP MAP IAC (RPLC NOTAM G0564/17)\n\n'}, {'badge_info': 'N0180 | 08/12/16', 'titulo': 'CARTA DE SAÍDA PADRÃO POR INSTRUMENTOS', 'texto1': '- Carta de Saída Padrão por Instrumentos suspensa.\n\nSID RNAV ILSAT 1 - JANES 1 - KEVAD 1 - LUIZA 1 - NAXOT 1 - REBAL 1 RWY 02 SAÍDA JANES 1', 'texto2': '\n  \tPeríodo: De 08 de dezembro de 2016, 0000 UTC até 31 de dezembro de 2019, 2359 UTC.\n\tRef: AIP MAP SID (RPLC N156/15)\n\n'}, {'badge_info': 'G0235/19', 'titulo': ' N 01/03/2019 17:11', 'texto2': '01/03/19 17:11 a 11/03/19 23:59 UTC'}, {'badge_info': 'G0229/19', 'titulo': ' N 28/02/2019 17:07', 'texto2': '01/03/19 00:00 a 30/05/19 23:59 UTC'}, {'badge_info': 'G0228/19', 'titulo': ' N 28/02/2019 15:38', 'texto2': '01/03/19 00:00 a 30/05/19 23:59 UTC'}, {'badge_info': 'G0224/19', 'titulo': ' R G1339/18 26/02/2019 18:44', 'texto2': '26/02/19 18:44 a 26/04/19 23:59 UTC'}, {'badge_info': 'Z2136/18', 'titulo': ' R Z2119/18 10/12/2018 19:27', 'texto2': '10/12/18 19:27 a PERM'}, {'badge_info': 'Z1956/18', 'titulo': ' N 07/11/2018 20:45', 'texto2': '08/11/18 00:00 a PERM'}, {'badge_info': 'Z1283/18', 'titulo': ' R Z1282/18 19/07/2018 15:11', 'texto2': '19/07/18 15:09 a PERM'}, {'badge_info': 'Z2473/17', 'titulo': ' R Z0466/16 16/08/2017 16:32', 'texto2': '16/08/17 16:32 a PERM'}, {'badge_info': 'Z2236/17', 'titulo': ' N 27/07/2017 15:07', 'texto2': '27/07/17 15:07 a PERM'}, {'badge_info': 'Z1527/17', 'titulo': ' N 31/05/2017 19:57', 'texto2': '31/05/17 19:57 a PERM'}, {'badge_info': 'Z4277/16', 'titulo': ' R Z4260/16 14/11/2016 22:47', 'texto2': '14/11/16 22:47 a PERM'}]"
SBBG,RS0010,Comandante Gustavo Kraemer,BAGÉ,RS,,"[{'badge_info': 'E0174/19', 'titulo': ' R E0060/19 28/01/2019 22:56', 'texto2': '28/01/19 22:56 a 12/03/19 23:59 UTC'}, {'badge_info': 'E0019/19', 'titulo': ' N 07/01/2019 21:11', 'texto2': '07/01/19 21:11 a 08/03/19 23:59 UTC'}, {'badge_info': 'Z1385/18', 'titulo': ' R Z1384/18 27/08/2018 18:21', 'texto2': '27/08/18 18:21 a PERM'}, {'badge_info': 'Z2456/17', 'titulo': ' N 15/08/2017 20:24', 'texto2': '15/08/17 20:24 a PERM'}, {'badge_info': 'Z2324/17', 'titulo': ' N 08/08/2017 18:51', 'texto2': '08/08/17 18:51 a PERM'}]"
SBBH,MG0003,Pampulha - Carlos Drummond de Andrade,BELO HORIZONTE,MG,,"[{'badge_info': 'N0004 | 03/01/19', 'titulo': 'INFORMAÇÕES ADICIONAIS', 'texto1': '- Obstáculo montado (GRUA) não iluminado COORD 195158.74S/0435908.64W ELEV 836.00M violando a superfície horizontal interna do Plano Básico de Zona de Proteção do Aeródromo.\n\n1) Dias e horários: H24', 'texto2': '\n  \tPeríodo: De 03 de janeiro de 2019, 0000 UTC até 31 de dezembro de 2020, 2359 UTC.\n\tRef: AIP AD 2.23\n\n'}, {'badge_info': 'N0133 | 09/11/17', 'titulo': 'INFORMAÇÃO ADICIONAL', 'texto1': '- Obstáculo montado conjunto de obstáculos violando a superfície cônica da zona de proteção do aeródromo.\n\n1- OBST GRUA não iluminado COORD 195328,94S/0435853,26W ELEV 963,53M \n2- OBST GRUA não iluminado COORD 195327,42S/0435850,52W ELEV 957,38M \n3- OBST GRUA não iluminado COORD 195326,29S/0435851,71W ELEV 957,38M', 'texto2': '\n  \tPeríodo: De 09 de novembro de 2017, 0000 UTC até 01 de junho de 2019, 2359 UTC.\n\tRef: AIP AD 2.23\n\n'}, {'badge_info': 'F0337/19', 'titulo': ' N 22/02/2019 15:38', 'texto2': '22/02/19 15:38 a 01/03/19 20:00 UTC'}, {'badge_info': 'Z0119/19', 'titulo': ' N 18/02/2019 16:45', 'texto2': '18/02/19 16:45 a PERM'}, {'badge_info': 'Z0087/19', 'titulo': ' N 01/02/2019 21:37', 'texto2': '01/02/19 21:37 a PERM'}, {'badge_info': 'Z0086/19', 'titulo': ' N 01/02/2019 21:35', 'texto2': '01/02/19 21:35 a PERM'}, {'badge_info': 'F0220/19', 'titulo': ' R F2453/18 31/01/2019 17:48', 'texto2': '31/01/19 17:48 a 27/03/19 23:59 UTC'}, {'badge_info': 'F0212/19', 'titulo': ' N 31/01/2019 16:54', 'texto2': '31/01/19 16:54 a 27/03/19 23:59 UTC'}, {'badge_info': 'F0201/19', 'titulo': ' N 30/01/2019 18:33', 'texto2': '30/01/19 18:33 a 27/04/19 23:59 UTC'}, {'badge_info': 'F0084/19', 'titulo': ' N 17/01/2019 17:06', 'texto2': '17/01/19 17:06 a 16/04/19 23:59 UTC'}, {'badge_info': 'Z1954/18', 'titulo': ' N 07/11/2018 20:35', 'texto2': '08/11/18 00:00 a PERM'}, {'badge_info': 'Z1898/18', 'titulo': ' N 30/10/2018 21:13', 'texto2': '30/10/18 21:13 a PERM'}, {'badge_info': 'Z1317/18', 'titulo': ' N 07/08/2018 18:46', 'texto2': '07/08/18 18:46 a PERM'}, {'badge_info': 'Z1301/18', 'titulo': ' N 26/07/2018 19:30', 'texto2': '26/07/18 19:30 a PERM'}, {'badge_info': 'Z1255/18', 'titulo': ' N 13/07/2018 19:34', 'texto2': '19/07/18 00:00 a PERM'}, {'badge_info': 'Z1157/18', 'titulo': ' N 28/06/2018 19:24', 'texto2': '28/06/18 19:22 a PERM'}, {'badge_info': 'Z0303/18', 'titulo': ' N 29/01/2018 18:01', 'texto2': '29/01/18 18:03 a PERM'}, {'badge_info': 'Z4022/17', 'titulo': ' N 29/11/2017 12:55', 'texto2': '29/11/17 12:55 a PERM'}, {'badge_info': 'Z4020/17', 'titulo': ' N 29/11/2017 12:42', 'texto2': '29/11/17 12:42 a PERM'}, {'badge_info': 'Z3934/17', 'titulo': ' N 13/11/2017 18:55', 'texto2': '13/11/17 18:55 a PERM'}, {'badge_info': 'Z2414/17', 'titulo': ' R Z1157/17 14/08/2017 12:47', 'texto2': '14/08/17 12:47 a PERM'}, {'badge_info': 'Z1487/17', 'titulo': ' N 26/05/2017 00:58', 'texto2': '26/05/17 00:58 a PERM'}, {'badge_info': 'Z1483/17', 'titulo': ' R Z1480/17 25/05/2017 19:22', 'texto2': '25/05/17 19:22 a PERM'}, {'badge_info': 'Z1479/17', 'titulo': ' N 25/05/2017 13:43', 'texto2': '25/05/17 13:43 a PERM'}, {'badge_info': 'Z1477/17', 'titulo': ' N 24/05/2017 20:33', 'texto2': '24/05/17 20:33 a PERM'}, {'badge_info': 'Z1474/17', 'titulo': ' N 24/05/2017 19:52', 'texto2': '24/05/17 19:52 a PERM'}, {'badge_info': 'Z1254/17', 'titulo': ' N 05/05/2017 14:59', 'texto2': '05/05/17 14:59 a PERM'}, {'badge_info': 'Z1251/17', 'titulo': ' N 05/05/2017 14:44', 'texto2': '05/05/17 14:44 a PERM'}, {'badge_info': 'Z1250/17', 'titulo': ' N 05/05/2017 14:42', 'texto2': '05/05/17 14:42 a PERM'}, {'badge_info': 'Z3030/15', 'titulo': ' N 11/11/2015 15:27', 'texto2': '12/11/15 02:00 a PERM'}, {'badge_info': 'Z3029/15', 'titulo': ' N 11/11/2015 15:14', 'texto2': '12/11/15 02:00 a PERM'}]"
